trdar_no,trdar_nm,signgu_cd,signgu_nm,link_cnt,minm_road_cfi,max_road_cfi,ave_road_cfi,trdar_dgrm_crdnt
10020,통진우체국,41570,김포시,18,10,100,62.0,"MULTIPOLYGON(((126.599618793229 37.6934044755728,126.599613136421 37.6934022038873,126.598569175882 37.6914638192835,126.597779333412 37.6923305504555,126.59767136831 37.6923774815854,126.596337919531 37.6926049077391,126.596215814099 37.6921247242162,126.596465537913 37.6920715240037,126.596238890181 37.6915301662901,126.597496463053 37.6911785985655,126.597045934352 37.6901071579962,126.601122011699 37.6890151271111,126.601361258864 37.6893267721489,126.601233012301 37.6894569771349,126.601297681606 37.6895540503858,126.601359504643 37.6896533663604,126.601653011847 37.6904179301653,126.601022995268 37.6905621999555,126.601059357806 37.6906524199753,126.600792223748 37.6907821528983,126.600592952085 37.6919955270502,126.600318704119 37.6918662070842,126.600229191679 37.6916451660582,126.600154586765 37.6918138433022,126.600140244761 37.6918453283007,126.599618793229 37.6934044755728)))"
10021,부천역,41190,부천시,14,37,100,90.9,"MULTIPOLYGON(((126.779432307249 37.4831102573818,126.777709982475 37.4834246124405,126.77755330681 37.4828837149703,126.778181150728 37.4827677724959,126.777924153355 37.4817446501139,126.779945994678 37.4814488735252,126.780082912288 37.4819852259611,126.781304505348 37.4818050548105,126.781452422564 37.4824495463034,126.782212946233 37.4823878893617,126.782076486651 37.4816893599781,126.782531719345 37.4816338914437,126.782764738127 37.4821771762522,126.782985214072 37.4821753314781,126.782998874726 37.4823375369987,126.784087280568 37.4822742210435,126.784334373698 37.4828423061368,126.783124437467 37.4828986424109,126.783088760351 37.4825314184159,126.782596816918 37.4825733060893,126.782615571692 37.4829269838752,126.779432307249 37.4831102573818)))"
10022,역곡역_1,41190,부천시,8,43,100,73.1,"MULTIPOLYGON(((126.810913118042 37.4837621127757,126.810915950355 37.4837598648373,126.810879267526 37.4837350281524,126.81106932921 37.4834672864311,126.811430818363 37.483591755867,126.811547238498 37.4833824600695,126.813741103789 37.4843410262964,126.813780456789 37.4844289364448,126.813536397439 37.4848159793636,126.813445877402 37.4848428654629,126.810913118042 37.4837621127757)))"
10023,원종사거리,41190,부천시,4,32,88,62.4,"MULTIPOLYGON(((126.804706225513 37.5267475836307,126.804703391385 37.5267498313988,126.804598658666 37.526783444261,126.803999682073 37.5265526910385,126.803990522802 37.5235884012653,126.804284644785 37.5235888924433,126.804277594475 37.5230437783701,126.803974978537 37.5230477779588,126.803992665004 37.5227752563463,126.805638646175 37.5227599757198,126.805689451335 37.5227983522214,126.805685913755 37.5252355390868,126.80562357656 37.5252804855477,126.804684645182 37.5252721681436,126.804706225513 37.5267475836307)))"
10024,부개역,41190,부천시,14,10,93,56.2,"MULTIPOLYGON(((126.744145150965 37.4889199813436,126.743904557137 37.4914828012299,126.74385348782 37.4915367498876,126.742332846848 37.4914703554897,126.742459623949 37.4907768638076,126.74253980616 37.4888398902114,126.742563399522 37.4885561269485,126.743920786837 37.4884014177071,126.744145150965 37.4889199813436)))"
10025,부천시청,41190,부천시,17,3,61,31.6,"MULTIPOLYGON(((126.760365164875 37.5048027537652,126.760353869841 37.5047982257314,126.760320042687 37.5047666217877,126.759812601152 37.5025491304485,126.75985232838 37.5025041617778,126.764259074106 37.5019364505909,126.764394469907 37.5020358320866,126.764777995276 37.5041404312632,126.764743739996 37.5042439774034,126.760365164875 37.5048027537652)))"
10027,상동역_1,41190,부천시,20,3,81,31.0,"MULTIPOLYGON(((126.753339782067 37.5054459394724,126.75332847246 37.5054459157246,126.753159305639 37.5053014007827,126.752825872517 37.5035347443313,126.753018578603 37.5033999999722,126.75706889348 37.5029219071433,126.757373978788 37.5030036275174,126.757820172908 37.5049056536334,126.757559174711 37.5051754145027,126.754866430999 37.505494185051,126.753339782067 37.5054459394724)))"
10028,상동역_2,41190,부천시,28,9,89,35.8,"MULTIPOLYGON(((126.752762812863 37.5054987864248,126.750653464546 37.5055258631091,126.749459982173 37.5056179286577,126.748594643658 37.5056611299438,126.748396983465 37.5055841220261,126.748124995525 37.5040743684463,126.75238488392 37.5035112906996,126.752571278316 37.5035747532754,126.752904765329 37.5053233905886,126.752762812863 37.5054987864248)))"
10029,상동역_3,41190,부천시,20,3,81,31.0,"MULTIPOLYGON(((126.75374129869 37.5075227311658,126.753632817291 37.5074647884268,126.753365820665 37.5061217422149,126.753428336949 37.506027268728,126.754666674475 37.506052386447,126.757732730857 37.5057118661437,126.758122197581 37.5059334131878,126.758367973321 37.5068709563666,126.758226249822 37.5069787844084,126.75374129869 37.5075227311658)),((126.75374129869 37.5075227311658,126.753751363037 37.5075281067954,126.753734413036 37.5075235662761,126.75374129869 37.5075227311658)))"
10030,상동역_4,41190,부천시,27,9,89,35.6,"MULTIPOLYGON(((126.748920116257 37.5080855084021,126.748908806255 37.5080854842298,126.748585981187 37.5065530987277,126.748717091139 37.5062425351792,126.751217156598 37.5060631516382,126.752913686133 37.5060442073008,126.753060324237 37.5061616453011,126.753332940671 37.5075137139592,126.753213918091 37.5075945537149,126.748920116257 37.5080855084021)))"
